"DateKey","Date","YearNumber","MonthNumber","MonthName","QuarterNumber","DayOfMonth","DayOfWeekName","IsWeekend"
"20100829","2010-08-29","2010","8","August","3","29","Sunday","True"
"20160922","2016-09-22","2016","9","September","3","22","Thursday","False"
"20181005","2018-10-05","2018","10","October","4","5","Friday","False"
"20181108","2018-11-08","2018","11","November","4","8","Thursday","False"
"20190128","2019-01-28","2019","1","January","1","28","Monday","False"
"20190401","2019-04-01","2019","4","April","2","1","Monday","False"
"20190509","2019-05-09","2019","5","May","2","9","Thursday","False"
"20200605","2020-06-05","2020","6","June","2","5","Friday","False"
"20200930","2020-09-30","2020","9","September","3","30","Wednesday","False"
"20201130","2020-11-30","2020","11","November","4","30","Monday","False"
"20210422","2021-04-22","2021","4","April","2","22","Thursday","False"
"20210902","2021-09-02","2021","9","September","3","2","Thursday","False"
"20211211","2021-12-11","2021","12","December","4","11","Saturday","True"
"20220613","2022-06-13","2022","6","June","2","13","Monday","False"
"20220719","2022-07-19","2022","7","July","3","19","Tuesday","False"
"20221209","2022-12-09","2022","12","December","4","9","Friday","False"
"20230104","2023-01-04","2023","1","January","1","4","Wednesday","False"
"20230303","2023-03-03","2023","3","March","1","3","Friday","False"
"20230313","2023-03-13","2023","3","March","1","13","Monday","False"
"20230413","2023-04-13","2023","4","April","2","13","Thursday","False"
"20230503","2023-05-03","2023","5","May","2","3","Wednesday","False"
"20230704","2023-07-04","2023","7","July","3","4","Tuesday","False"
"20230808","2023-08-08","2023","8","August","3","8","Tuesday","False"
"20230919","2023-09-19","2023","9","September","3","19","Tuesday","False"
"20231105","2023-11-05","2023","11","November","4","5","Sunday","True"
"20231210","2023-12-10","2023","12","December","4","10","Sunday","True"
"20231216","2023-12-16","2023","12","December","4","16","Saturday","True"
"20231224","2023-12-24","2023","12","December","4","24","Sunday","True"
"20240118","2024-01-18","2024","1","January","1","18","Thursday","False"
"20240302","2024-03-02","2024","3","March","1","2","Saturday","True"
"20240328","2024-03-28","2024","3","March","1","28","Thursday","False"
"20240408","2024-04-08","2024","4","April","2","8","Monday","False"
"20240412","2024-04-12","2024","4","April","2","12","Friday","False"
"20240417","2024-04-17","2024","4","April","2","17","Wednesday","False"
"20240624","2024-06-24","2024","6","June","2","24","Monday","False"
"20240627","2024-06-27","2024","6","June","2","27","Thursday","False"
"20240812","2024-08-12","2024","8","August","3","12","Monday","False"
"20240904","2024-09-04","2024","9","September","3","4","Wednesday","False"
"20241002","2024-10-02","2024","10","October","4","2","Wednesday","False"
"20241018","2024-10-18","2024","10","October","4","18","Friday","False"
"20241023","2024-10-23","2024","10","October","4","23","Wednesday","False"
"20241102","2024-11-02","2024","11","November","4","2","Saturday","True"
"20241104","2024-11-04","2024","11","November","4","4","Monday","False"
"20241111","2024-11-11","2024","11","November","4","11","Monday","False"
"20241117","2024-11-17","2024","11","November","4","17","Sunday","True"
"20241120","2024-11-20","2024","11","November","4","20","Wednesday","False"
"20241204","2024-12-04","2024","12","December","4","4","Wednesday","False"
"20241205","2024-12-05","2024","12","December","4","5","Thursday","False"
"20241212","2024-12-12","2024","12","December","4","12","Thursday","False"
"20250110","2025-01-10","2025","1","January","1","10","Friday","False"
"20250121","2025-01-21","2025","1","January","1","21","Tuesday","False"
"20250125","2025-01-25","2025","1","January","1","25","Saturday","True"
"20250205","2025-02-05","2025","2","February","1","5","Wednesday","False"
"20250212","2025-02-12","2025","2","February","1","12","Wednesday","False"
"20250302","2025-03-02","2025","3","March","1","2","Sunday","True"
"20250414","2025-04-14","2025","4","April","2","14","Monday","False"
"20250425","2025-04-25","2025","4","April","2","25","Friday","False"
"20250501","2025-05-01","2025","5","May","2","1","Thursday","False"
"20250523","2025-05-23","2025","5","May","2","23","Friday","False"
"20250527","2025-05-27","2025","5","May","2","27","Tuesday","False"
"20250604","2025-06-04","2025","6","June","2","4","Wednesday","False"
"20250616","2025-06-16","2025","6","June","2","16","Monday","False"
"20250618","2025-06-18","2025","6","June","2","18","Wednesday","False"
"20250619","2025-06-19","2025","6","June","2","19","Thursday","False"
"20250624","2025-06-24","2025","6","June","2","24","Tuesday","False"
"20250708","2025-07-08","2025","7","July","3","8","Tuesday","False"
"20250712","2025-07-12","2025","7","July","3","12","Saturday","True"
"20250714","2025-07-14","2025","7","July","3","14","Monday","False"
"20250718","2025-07-18","2025","7","July","3","18","Friday","False"
"20250723","2025-07-23","2025","7","July","3","23","Wednesday","False"
"20250808","2025-08-08","2025","8","August","3","8","Friday","False"
"20250912","2025-09-12","2025","9","September","3","12","Friday","False"
"20250913","2025-09-13","2025","9","September","3","13","Saturday","True"
"20250919","2025-09-19","2025","9","September","3","19","Friday","False"
"20250926","2025-09-26","2025","9","September","3","26","Friday","False"
"20251015","2025-10-15","2025","10","October","4","15","Wednesday","False"
"20251029","2025-10-29","2025","10","October","4","29","Wednesday","False"
"20251105","2025-11-05","2025","11","November","4","5","Wednesday","False"
"20251110","2025-11-10","2025","11","November","4","10","Monday","False"
"20251113","2025-11-13","2025","11","November","4","13","Thursday","False"
"20251119","2025-11-19","2025","11","November","4","19","Wednesday","False"
"20251124","2025-11-24","2025","11","November","4","24","Monday","False"
"20251210","2025-12-10","2025","12","December","4","10","Wednesday","False"
"20251212","2025-12-12","2025","12","December","4","12","Friday","False"
"20251219","2025-12-19","2025","12","December","4","19","Friday","False"
"20251223","2025-12-23","2025","12","December","4","23","Tuesday","False"
"20251226","2025-12-26","2025","12","December","4","26","Friday","False"
"20251227","2025-12-27","2025","12","December","4","27","Saturday","True"
"20260102","2026-01-02","2026","1","January","1","2","Friday","False"
"20260110","2026-01-10","2026","1","January","1","10","Saturday","True"
"20260112","2026-01-12","2026","1","January","1","12","Monday","False"
"20260113","2026-01-13","2026","1","January","1","13","Tuesday","False"
"20260114","2026-01-14","2026","1","January","1","14","Wednesday","False"
"20260116","2026-01-16","2026","1","January","1","16","Friday","False"
"20260126","2026-01-26","2026","1","January","1","26","Monday","False"
"20260127","2026-01-27","2026","1","January","1","27","Tuesday","False"
"20260129","2026-01-29","2026","1","January","1","29","Thursday","False"
"20260130","2026-01-30","2026","1","January","1","30","Friday","False"
"20260131","2026-01-31","2026","1","January","1","31","Saturday","True"
"20260203","2026-02-03","2026","2","February","1","3","Tuesday","False"
"20260204","2026-02-04","2026","2","February","1","4","Wednesday","False"
"20260209","2026-02-09","2026","2","February","1","9","Monday","False"
"20260210","2026-02-10","2026","2","February","1","10","Tuesday","False"
"20260218","2026-02-18","2026","2","February","1","18","Wednesday","False"
"20260220","2026-02-20","2026","2","February","1","20","Friday","False"
"20260225","2026-02-25","2026","2","February","1","25","Wednesday","False"
"20260226","2026-02-26","2026","2","February","1","26","Thursday","False"
"20260228","2026-02-28","2026","2","February","1","28","Saturday","True"
"20260301","2026-03-01","2026","3","March","1","1","Sunday","True"
"20260302","2026-03-02","2026","3","March","1","2","Monday","False"
"20260303","2026-03-03","2026","3","March","1","3","Tuesday","False"
"20260308","2026-03-08","2026","3","March","1","8","Sunday","True"
"20260309","2026-03-09","2026","3","March","1","9","Monday","False"
"20260310","2026-03-10","2026","3","March","1","10","Tuesday","False"
"20260311","2026-03-11","2026","3","March","1","11","Wednesday","False"
"20260313","2026-03-13","2026","3","March","1","13","Friday","False"
"20260314","2026-03-14","2026","3","March","1","14","Saturday","True"
"20260317","2026-03-17","2026","3","March","1","17","Tuesday","False"
"20260319","2026-03-19","2026","3","March","1","19","Thursday","False"
"20260320","2026-03-20","2026","3","March","1","20","Friday","False"
"20260321","2026-03-21","2026","3","March","1","21","Saturday","True"
"20260323","2026-03-23","2026","3","March","1","23","Monday","False"
"20260324","2026-03-24","2026","3","March","1","24","Tuesday","False"
"20260325","2026-03-25","2026","3","March","1","25","Wednesday","False"
"20260326","2026-03-26","2026","3","March","1","26","Thursday","False"
"20260327","2026-03-27","2026","3","March","1","27","Friday","False"
"20260328","2026-03-28","2026","3","March","1","28","Saturday","True"
"20260329","2026-03-29","2026","3","March","1","29","Sunday","True"
"20260330","2026-03-30","2026","3","March","1","30","Monday","False"
"20260331","2026-03-31","2026","3","March","1","31","Tuesday","False"
"20260401","2026-04-01","2026","4","April","2","1","Wednesday","False"
"20260402","2026-04-02","2026","4","April","2","2","Thursday","False"
"20260404","2026-04-04","2026","4","April","2","4","Saturday","True"
"20260405","2026-04-05","2026","4","April","2","5","Sunday","True"
"20260406","2026-04-06","2026","4","April","2","6","Monday","False"
"20260407","2026-04-07","2026","4","April","2","7","Tuesday","False"
"20260408","2026-04-08","2026","4","April","2","8","Wednesday","False"
"20260409","2026-04-09","2026","4","April","2","9","Thursday","False"
"20260410","2026-04-10","2026","4","April","2","10","Friday","False"
"20260411","2026-04-11","2026","4","April","2","11","Saturday","True"
"20260412","2026-04-12","2026","4","April","2","12","Sunday","True"
